epoch,accuracy,hard_loss,loss,soft_loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.6442345380783081,0.6416512727737427,4.891934394836426,9.142217636108398,0.8451615571975708,0.7988775372505188,0.21512925624847412,0.954081654548645
1,0.7884472608566284,2.010547161102295,7.1150360107421875,12.219524383544922,0.9498010277748108,0.8287755250930786,0.14443302154541016,0.96693879365921022,2,0.8088897466659546,0.43897637724876404,3.7190990447998047,6.9992218017578125,0.9589182138442993,0.8388775587081909,0.09587348997592926,0.9722449183464053,3,0.8182474374771118,0.5385740995407104,4.395580768585205,8.25258731842041,0.9628973603248596,0.8470408320426941,0.09368179738521576,0.97214287519454964,4,0.8218986392021179,1.469148874282837,5.3104143142700195,9.151679992675781,0.9634658098220825,0.8456122279167175,0.18842372298240662,0.970918357372285,0.8312781453132629,0.4647761285305023,3.770937442779541,7.077098846435547,0.9679915904998779,0.851938784122467,0.06032419577240944,0.9739795923233032
032
6,0.837902843952179,0.5890278220176697,3.896697521209717,7.204367160797119,0.9681227803230286,0.8564285635948181,0.07528889924287796,0.9758163094520569
7,0.8368752598762512,0.12295247614383698,2.753767967224121,5.384583473205566,0.9684725999832153,0.854285717010498,0.11976447701454163,0.9759183526039124
8,0.8409200310707092,0.6335936784744263,3.8133463859558105,6.993099212646484,0.9699811935424805,0.8564285635948181,0.19724804162979126,0.9753060936927795
9,0.841444730758667,0.25595659017562866,3.5329432487487793,6.809929847717285,0.971183717250824,0.8584693670272827,0.1278778314590454,0.9760203957557678
10,0.8445494174957275,0.3143004775047302,4.2037153244018555,8.093130111694336,0.9708994626998901,0.8604081869125366,0.16178806126117706,0.9765306115150452
11,0.8469762802124023,1.7112146615982056,5.292687892913818,8.874160766601562,0.9714460372924805,0.8606122732162476,0.12376973032951355,0.9766326546669006
0,0.8514583110809326,0.33644863963127136,3.7984848022460938,7.260520935058594,0.9721675515174866,0.8625510334968567,0.10851870477199554,0.9775510430335999
1,0.8549565076828003,0.4942755699157715,4.294281005859375,8.09428596496582,0.9743102192878723,0.8652040958404541,0.0843297615647316,0.9784693717956543
2,0.8596790432929993,0.45495519042015076,2.4961111545562744,4.537267208099365,0.9764309525489807,0.8657143115997314,0.12489643692970276,0.9783673286437988
3,0.8601819276809692,0.06387730687856674,3.935401439666748,7.8069257736206055,0.9758188128471375,0.867959201335907,0.11373079568147659,0.9784693717956543
4,0.8616030216217041,0.5009551644325256,3.0665504932403564,5.632145881652832,0.9772617816925049,0.8686734437942505,0.11327353119850159,0.9793877601623535
5,0.8634833097457886,0.33713483810424805,4.082364082336426,7.8275933265686035,0.9778302311897278,0.870306134223938,0.12075915187597275,0.9795918464660645
